ValoresRsm,TimeStamp,EPOCH
0.563,02/07/2020 15:03:52.832,1593713032832
0.556,02/07/2020 15:03:53.332,1593713033332
0.556,02/07/2020 15:03:53.832,1593713033832
0.576,02/07/2020 15:03:54.332,1593713034332
0.581,02/07/2020 15:03:54.832,1593713034832
0.555,02/07/2020 15:03:55.332,1593713035332
0.564,02/07/2020 15:03:55.832,1593713035832
0.562,02/07/2020 15:03:56.332,1593713036332
0.616,02/07/2020 15:03:56.832,1593713036832
0.555,02/07/2020 15:03:57.332,1593713037332
0.572,02/07/2020 15:03:57.832,1593713037832
0.552,02/07/2020 15:03:58.332,1593713038332
0.556,02/07/2020 15:03:58.832,1593713038832
0.557,02/07/2020 15:03:59.332,1593713039332
0.558,02/07/2020 15:03:59.832,1593713039832
0.552,02/07/2020 15:04:00.332,1593713040332
0.557,02/07/2020 15:04:00.832,1593713040832
0.559,02/07/2020 15:04:01.332,1593713041332
0.560,02/07/2020 15:04:01.832,1593713041832
0.560,02/07/2020 15:04:02.332,1593713042332
0.564,02/07/2020 15:04:02.832,1593713042832
0.561,02/07/2020 15:04:03.332,1593713043332
0.581,02/07/2020 15:04:03.832,1593713043832
0.555,02/07/2020 15:04:04.332,1593713044332
0.595,02/07/2020 15:04:04.832,1593713044832
0.557,02/07/2020 15:04:05.332,1593713045332
0.562,02/07/2020 15:04:05.832,1593713045832
0.567,02/07/2020 15:04:06.332,1593713046332
0.554,02/07/2020 15:04:06.832,1593713046832
0.558,02/07/2020 15:04:07.332,1593713047332
0.556,02/07/2020 15:04:07.832,1593713047832
0.560,02/07/2020 15:04:08.332,1593713048332
0.556,02/07/2020 15:04:08.832,1593713048832
0.567,02/07/2020 15:04:09.332,1593713049332
0.551,02/07/2020 15:04:09.832,1593713049832
0.560,02/07/2020 15:04:10.332,1593713050332
0.539,02/07/2020 15:04:10.832,1593713050832
0.562,02/07/2020 15:04:11.332,1593713051332
0.563,02/07/2020 15:04:11.832,1593713051832
0.567,02/07/2020 15:04:12.332,1593713052332
0.552,02/07/2020 15:04:12.832,1593713052832
1.262,02/07/2020 15:04:13.332,1593713053332
1.278,02/07/2020 15:04:13.832,1593713053832
1.234,02/07/2020 15:04:14.332,1593713054332
1.251,02/07/2020 15:04:14.832,1593713054832
1.296,02/07/2020 15:04:15.332,1593713055332
2.681,02/07/2020 15:04:15.832,1593713055832
2.711,02/07/2020 15:04:16.332,1593713056332
2.725,02/07/2020 15:04:16.832,1593713056832
2.711,02/07/2020 15:04:17.332,1593713057332
2.715,02/07/2020 15:04:17.832,1593713057832
2.713,02/07/2020 15:04:18.332,1593713058332
2.721,02/07/2020 15:04:18.832,1593713058832
2.730,02/07/2020 15:04:19.332,1593713059332
2.739,02/07/2020 15:04:19.832,1593713059832
2.750,02/07/2020 15:04:20.332,1593713060332
2.753,02/07/2020 15:04:20.832,1593713060832
2.761,02/07/2020 15:04:21.332,1593713061332
2.752,02/07/2020 15:04:21.832,1593713061832
2.748,02/07/2020 15:04:22.332,1593713062332
2.748,02/07/2020 15:04:22.832,1593713062832
2.712,02/07/2020 15:04:23.332,1593713063332
2.721,02/07/2020 15:04:23.832,1593713063832
2.724,02/07/2020 15:04:24.332,1593713064332
2.725,02/07/2020 15:04:24.832,1593713064832
2.711,02/07/2020 15:04:25.332,1593713065332
2.715,02/07/2020 15:04:25.832,1593713065832
2.713,02/07/2020 15:04:26.332,1593713066332
2.683,02/07/2020 15:04:26.832,1593713066832
2.704,02/07/2020 15:04:27.332,1593713067332
2.701,02/07/2020 15:04:27.832,1593713067832
2.704,02/07/2020 15:04:28.332,1593713068332
2.687,02/07/2020 15:04:28.832,1593713068832
2.685,02/07/2020 15:04:29.332,1593713069332
2.713,02/07/2020 15:04:29.832,1593713069832
2.718,02/07/2020 15:04:30.332,1593713070332
2.715,02/07/2020 15:04:30.832,1593713070832
2.703,02/07/2020 15:04:31.332,1593713071332
2.725,02/07/2020 15:04:31.832,1593713071832
2.732,02/07/2020 15:04:32.332,1593713072332
2.730,02/07/2020 15:04:32.832,1593713072832
2.733,02/07/2020 15:04:33.332,1593713073332
2.734,02/07/2020 15:04:33.832,1593713073832
2.731,02/07/2020 15:04:34.332,1593713074332
